0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:54 -0600] "GET /restaurants/getCuisine.do?cuisine=Mediterranean HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:57:55 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:03 -0600] "GET /restaurants/newRestaurant.do HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:05 -0600] "POST /restaurants/createRestaurant.do HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:06 -0600] "POST /restaurants/addAddress.do HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:08 -0600] "GET /restaurants/listRestaurants.do HTTP/1.1" 200 11130
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/home.do HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/american.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/chinese.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/italian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/pizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/mexican.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/thai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/indian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2016:10:58:12 -0600] "GET /restaurants/imgs/mediterranean.jpg HTTP/1.1" 304 -
